extraction_ID,alternative_ID,collection_year,collection_month,collection_day,bay_id,habitat,location1,location3,longitude,latitude,sample_type,time_of_day,project,collected_by,extraction_by,extraction_date,plate_or_vial,extraction_plate_ID,extraction_well_ID
e00349,2021_KLWA_A_3,2021,8,6,KLWA_A,eelgrass,Klawock airport eel,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_22,,,
e00350,2021_KLWA_A_4,2021,8,6,KLWA_A,eelgrass,Klawock airport eel,,,,field_blank,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_22,,,
e00351,2021_BTRB_A_1,2021,8,7,BTRB_A,eelgrass,Big Tree bay eel,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_22,,,
e00352,2021_BTRB_A_2,2021,8,7,BTRB_A,eelgrass,Big Tree bay eel,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_22,,,
e00353,2021_BTRB_A_3,2021,8,7,BTRB_A,eelgrass,Big Tree bay eel,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_22,,,
e00354,2021_BTRB_A_4,2021,8,7,BTRB_A,eelgrass,Big Tree bay eel,,,,field_blank,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_22,,,
e00355,2021_CLAM_A_1,2021,8,8,CLAM_A,mixed,Clam island mixed,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_22,,,
e00356,2021_CLAM_A_2,2021,8,8,CLAM_A,mixed,Clam island mixed,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_22,,,
e00357,2021_CLAM_A_3,2021,8,8,CLAM_A,mixed,Clam island mixed,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_22,,,
e00358,2021_CLAM_A_4,2021,8,8,CLAM_A,mixed,Clam island mixed,,,,field_blank,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_22,,,
e00359,2021_NFEI_B_1,2021,8,9,NFEI_B,mixed,Cole island mixed,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_22,,,
e00360,extraction_blank,2021,,,,,,,,,extraction_blank,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_22,,,
e00361,2021_NFEI_B_2,2021,8,9,NFEI_B,mixed,Cole island mixed,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_22,,,
e00362,2021_NFEI_B_3,2021,8,9,NFEI_B,mixed,Cole island mixed,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_22,,,
e00363,2021_NFEI_B_4,2021,8,9,NFEI_B,mixed,Cole island mixed,,,,field_blank,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_22,,,
e00364,2021_BOST_A_1,2021,8,12,BOST_A,eelgrass,Bostwick inlet eel,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_22,,,
e00365,2021_BOST_A_2,2021,8,12,BOST_A,eelgrass,Bostwick inlet eel,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_22,,,
e00366,2021_BOST_A_3,2021,8,12,BOST_A,eelgrass,Bostwick inlet eel,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_22,,,
e00367,2021_BOST_A_4,2021,8,12,BOST_A,eelgrass,Bostwick inlet eel,,,,field_blank,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_22,,,
e00368,2021_BOST_B_1,2021,8,11,BOST_B,kelp,Bostwick inlet kelp,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_22,,,
e00369,2021_BOST_B_2,2021,8,11,BOST_B,kelp,Bostwick inlet kelp,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_22,,,
e00370,2021_BOST_B_3,2021,8,11,BOST_B,kelp,Bostwick inlet kelp,,,,sample,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_22,,,
e00371,2021_BOST_B_4,2021,8,11,BOST_B,kelp,Bostwick inlet kelp,,,,field_blank,,Lia_UAF_nearshore_eDNA,LKD,LKD,2021_11_22,,,
